DatasetID,ID,latitude,longitude,CommonName,SpeciesName,TSN,Count,DateTime,UploadDate,ResearchOrganization,Contact,Depth,SST
328,328_159,25.97405,-77.411733,Blainville's beaked whale,Mesoplodon densirostris,180517,6,2004/07/22 13:13:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,660,27.22
328,328_173,25.99895,-77.409267,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,15,2005/06/25 09:52:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,40,28.35
328,328_161,25.9048,-77.33,Sperm whale,Physeter macrocephalus,180488,6,2004/07/28 13:13:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,745,26.475
328,328_13,26.611767,-77.039017,Atlantic bottlenose dolphin - inshore type,Tursiops truncatus,180426,7,1998/10/21 08:54:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,1,27.45
328,328_31,25.94875,-77.367283,Dwarf sperm whale,Kogia sima,180492,2,2000/07/09 07:58:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,112,28.05
328,328_43,25.9474,-77.341033,Dwarf sperm whale,Kogia sima,180492,1,2000/08/10 11:19:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,44,29.175
328,328_50,25.891617,-77.274667,Pygmy sperm whale,Kogia breviceps,180491,2,2000/08/15 11:21:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,274,28.8
328,328_66,25.903517,-77.342033,Dwarf sperm whale,Kogia sima,180492,4,2001/03/08 12:08:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,10,25.8
328,328_61,26.62955,-76.908767,Blainville's beaked whale,Mesoplodon densirostris,180517,4,2001/02/15 17:08:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,84,26.625
328,328_73,25.931033,-77.346217,Dwarf sperm whale,Kogia sima,180492,1,2001/05/31 17:29:00,2006/06/06 13:20:37,Bahamas Marine Mammal Research Organisation,charlotte,306,25.575
